name,year,value,code,rate,pop,,
New Mexico,2001,0.00003078536771472520,35,56,1819046,,
New York,2001,0.00003340981933561150,36,634,18976457,,
North Carolina,2001,0.00019653851204444400,37,1582,8049313,,
North Dakota,2001,0.00040485829959514200,38,260,642200,,
Ohio,2001,0.00000528488153938029,39,60,11353140,,
Oklahoma,2001,0.00005651102660539130,40,195,3450654,,
Oregon,2001,0.00002601275092440260,41,89,3421399,,
Pennsylvania,2001,0.00000073283612302332,42,9,12281054,,
Rhode Island,2001,0.00000000000000000000,44,0,1048319,,
South Carolina,2001,0.00044117515102148300,45,1770,4012012,,
South Dakota,2001,0.00002384598672043500,46,18,754844,,
Tennessee,2001,0.00021707480538408800,47,1235,5689283,,
Texas,2001,0.00000522736144854502,48,109,20851820,,
Utah,2001,0.00000626911801122083,49,14,2233169,,
Vermont,2001,0.00000000000000000000,50,0,608827,,
Virginia,2001,0.00006442029154420100,51,456,7078515,,
Washington,2001,0.00000627744153878076,53,37,5894121,,
West Virginia,2001,0.00039483638068863000,54,714,1808344,,
Wisconsin,2001,0.00002218628086153620,55,119,5363675,,
Wyoming,2001,0.00000202518520318683,56,1,493782,,
